INFO:root:2016-09-14 00:00:00.000000 | Total BTC: 0.5093069557588601 | Total rand: R4647.43
INFO:root:2016-09-15 00:00:00.000000 | Total BTC: 0.50750069878584 | Total rand: R4633.48
INFO:root:2016-09-16 00:00:00.000000 | Total BTC: 0.50155291697378 | Total rand: R4571.65
INFO:root:2016-09-17 00:00:00.000000 | Total BTC: 0.5065341843987601 | Total rand: R4603.38
INFO:root:2016-09-18 00:00:00.000000 | Total BTC: 0.51420782010466 | Total rand: R4681.86
INFO:root:2016-09-19 00:00:00.000000 | Total BTC: 0.50235445198756 | Total rand: R4583.48
INFO:root:2016-09-20 00:00:00.000000 | Total BTC: 0.52375239911736 | Total rand: R4731.58
INFO:root:2016-09-21 00:00:00.000000 | Total BTC: 0.54927038924458 | Total rand: R4888.51
INFO:root:2016-09-22 00:00:00.000000 | Total BTC: 0.5359877410197 | Total rand: R4657.73
INFO:root:2016-09-23 00:00:00.000000 | Total BTC: 0.5289281201705199 | Total rand: R4547.72
INFO:root:2016-09-24 00:00:00.000000 | Total BTC: 0.5343805045322 | Total rand: R4617.05
INFO:root:2016-09-25 00:00:00.000000 | Total BTC: 0.52871954843322 | Total rand: R4663.31
INFO:root:2016-09-26 00:00:00.000000 | Total BTC: 0.5271232672069199 | Total rand: R4600.2
INFO:root:2016-09-27 00:00:00.000000 | Total BTC: 0.51319617064358 | Total rand: R4501.76
INFO:root:2016-09-28 00:00:00.000000 | Total BTC: 0.51790590480878 | Total rand: R4526.5
INFO:root:2016-09-29 00:00:00.000000 | Total BTC: 0.52121174068482 | Total rand: R4556.43
INFO:root:2016-09-30 00:00:00.000000 | Total BTC: 0.51158169122548 | Total rand: R4409.32
INFO:root:2016-10-01 00:00:00.000000 | Total BTC: 0.51090543843862 | Total rand: R4429.04
INFO:root:2016-10-02 00:00:00.000000 | Total BTC: 0.49781480199456 | Total rand: R4339.95
INFO:root:2016-10-03 00:00:00.000000 | Total BTC: 0.50890679056356 | Total rand: R4473.8
INFO:root:2016-10-04 00:00:00.000000 | Total BTC: 0.5077872978404799 | Total rand: R4461.42
INFO:root:2016-10-05 00:00:00.000000 | Total BTC: 0.50308728447606 | Total rand: R4420.12
INFO:root:2016-10-06 00:00:00.000000 | Total BTC: 0.4899559693714 | Total rand: R4306.71
INFO:root:2016-10-07 00:00:00.000000 | Total BTC: 0.49287737509366003 | Total rand: R4305.28
INFO:root:2016-10-08 00:00:00.000000 | Total BTC: 0.48428200085692 | Total rand: R4304.3
INFO:root:2016-10-09 00:00:00.000000 | Total BTC: 0.47725881838344003 | Total rand: R4235.19
INFO:root:2016-10-10 00:00:00.000000 | Total BTC: 0.4813251145772 | Total rand: R4253.95
INFO:root:2016-10-11 00:00:00.000000 | Total BTC: 0.47005337656406 | Total rand: R4179.71
INFO:root:2016-10-12 00:00:00.000000 | Total BTC: 0.46410806344738004 | Total rand: R4375.15
INFO:root:2016-10-13 00:00:00.000000 | Total BTC: 0.46576726400534 | Total rand: R4319.06
INFO:root:2016-10-14 00:00:00.000000 | Total BTC: 0.46983823772584005 | Total rand: R4370.91
INFO:root:2016-10-15 00:00:00.000000 | Total BTC: 0.46564211611706 | Total rand: R4354.22
INFO:root:2016-10-16 00:00:00.000000 | Total BTC: 0.462512963347 | Total rand: R4334.67
INFO:root:2016-10-17 00:00:00.000000 | Total BTC: 0.46014052554804 | Total rand: R4318.88
INFO:root:2016-10-18 00:00:00.000000 | Total BTC: 0.46075316903805996 | Total rand: R4285.93
INFO:root:2016-10-19 00:00:00.000000 | Total BTC: 0.47244627190344 | Total rand: R4364.46
INFO:root:2016-10-20 00:00:00.000000 | Total BTC: 0.46733292987406 | Total rand: R4252.26
INFO:root:2016-10-21 00:00:00.000000 | Total BTC: 0.46620765851802004 | Total rand: R4284.45
INFO:root:2016-10-22 00:00:00.000000 | Total BTC: 0.46914651615494 | Total rand: R4307.7
INFO:root:2016-10-23 00:00:00.000000 | Total BTC: 0.45679284440666007 | Total rand: R4333.14
INFO:root:2016-10-24 00:00:00.000000 | Total BTC: 0.45676186186902007 | Total rand: R4293.1
INFO:root:2016-10-25 00:00:00.000000 | Total BTC: 0.45477857988914 | Total rand: R4269.01
INFO:root:2016-10-26 00:00:00.000000 | Total BTC: 0.44510151332234005 | Total rand: R4184.4
INFO:root:2016-10-27 00:00:00.000000 | Total BTC: 0.43872203747344 | Total rand: R4220.07
INFO:root:2016-10-28 00:00:00.000000 | Total BTC: 0.43673271795688007 | Total rand: R4302.25
INFO:root:2016-10-29 00:00:00.000000 | Total BTC: 0.42593720584714 | Total rand: R4256.39
INFO:root:2016-10-30 00:00:00.000000 | Total BTC: 0.40385291735806 | Total rand: R4200.07
INFO:root:2016-10-31 00:00:00.000000 | Total BTC: 0.42369723948093996 | Total rand: R4283.58
INFO:root:2016-11-01 00:00:00.000000 | Total BTC: 0.41649048679158 | Total rand: R4165.74
INFO:root:2016-11-02 00:00:00.000000 | Total BTC: 0.4028017663619 | Total rand: R4191.96
